feature,train_auc,test_auc,auc_drop,missing_rate_train
EXT_SOURCE_MEAN,0.7129898773055767,0.7128429257812527,0.0001469515243239794,0.0006232859636000997
EXT_SOURCE_AGE_INTERACTION,0.6838396774981331,0.6999571289754067,-0.016117451477273614,0.0006232859636000997
EXT_SOURCE_3,0.6777311787684219,0.6725471040937001,0.005184074674721817,0.21407975892382902
EXT_SOURCE_1,0.6605535913669532,0.66745100994217,-0.006897418575216752,0.5362752430815259
EXT_SOURCE_EMPLOYMENT_INTERACTION,0.6413574363532071,0.640143501598709,0.0012139347544980472,0.09039272435584751
EXT_SOURCE_2,0.6581513567228463,0.6382907311636431,0.019860625559203204,0.002124592154184688
EXT_SOURCE_BURDEN_RATIO,0.6475539972641635,0.6340449204482888,0.013509076815874765,0.0006666449871548893
EXT_SOURCE_CREDIT_RATIO,0.6118708242480098,0.6106123937375674,0.0012584305104423876,0.0006232859636000997
DAYS_EMPLOYED,0.5782913091891708,0.5797100812016114,-0.0014187720124405612,0.0898127974158022
EMPLOYMENT_YEARS,0.5782913091891708,0.5797100812016113,-0.0014187720124404501,0.0898127974158022
DAYS_BIRTH,0.5699025732797015,0.5711379257604462,-0.0012353524807446892,0.0
AGE_YEARS,0.5699025732797015,0.5711379257604462,-0.0012353524807446892,0.0
EXT_SOURCE_STD,0.5432589849320058,0.5625950686334859,-0.0193360837014801,0.12161664119324032
OWN_CAR_AGE,0.560795641234011,0.5565064447031102,0.004289196530900874,0.650911081482445
DAYS_EMPLOYED_ANOM,0.5133341113675167,0.5449280434850893,-0.031593932117572554,0.0
FLAG_EMP_PHONE,0.5133519925648417,0.5448111592472107,-0.03145916668236903,0.0
REGION_RATING_CLIENT_W_CITY,0.5516707137629371,0.543717566394962,0.007953147367975033,0.0
DAYS_REGISTRATION,0.5375509580638373,0.5436734395467662,-0.006122481482928821,0.0
REGION_RATING_CLIENT,0.550357398311979,0.5433729245389043,0.006984473773074762,0.0
FLOORSMAX_MEDI,0.5498756623943359,0.5419530347947785,0.007922627599557419,0.5061895006124462
