feature,train_auc,test_auc,auc_drop,missing_rate_train
EXT_SOURCE_MEAN,0.7129898773055767,0.7128429257812527,0.0001469515243239794,0.0006232859636000997
EXT_SOURCE_AGE_INTERACTION,0.6838396774981331,0.6999571289754067,-0.016117451477273614,0.0006232859636000997
EXT_SOURCE_EMPLOYMENT_INTERACTION,0.6413574363532071,0.640143501598709,0.0012139347544980472,0.09039272435584751
EXT_SOURCE_BURDEN_RATIO,0.6475539972641635,0.6340449204482888,0.013509076815874765,0.0006666449871548893
EXT_SOURCE_CREDIT_RATIO,0.6118708242480098,0.6106123937375674,0.0012584305104423876,0.0006232859636000997
EMPLOYMENT_YEARS,0.5782913091891708,0.5797100812016113,-0.0014187720124404501,0.0898127974158022
AGE_YEARS,0.5699025732797015,0.5711379257604462,-0.0012353524807446892,0.0
EXT_SOURCE_STD,0.5432589849320058,0.5625950686334859,-0.0193360837014801,0.12161664119324032
HOUSING_MISSING_COUNT,0.5384252179131461,0.5373992980451772,0.0010259198679689607,0.0
HOUSING_QUALITY_MEAN,0.5448758569585781,0.5324378968327355,0.01243796012584264,0.4902171203104506
EXT_SOURCE_COUNT,0.5301356938219894,0.5219818687451487,0.008153825076840704,0.0
ANNUITY_INCOME_RATIO,0.5211171089911218,0.5175077723779467,0.003609336613175196,4.3359023554789544e-05
INCOME_PER_FAM_MEMBER,0.52162878148344,0.5135863944457303,0.008042387037709764,5.419877944348693e-06
CREDIT_PER_FAM_MEMBER,0.5254653437282268,0.5080976641533229,0.017367679574903927,5.419877944348693e-06
CREDIT_INCOME_RATIO,0.5063968617297496,0.5076231261232791,-0.0012262643935294637,0.0
