feature,bucket,test_auc,auc_drop,mean_shift_z,is_top_adversarial_driver
EXT_SOURCE_AGE_INTERACTION,avoid_or_cap,0.6999571289754067,-0.016117451477273614,0.5169294716057085,False
DAYS_EMPLOYED,avoid_or_cap,0.5797100812016114,-0.0014187720124405612,0.207115835167682,True
DAYS_BIRTH,avoid_or_cap,0.5711379257604462,-0.0012353524807446892,0.6204153579420579,False
AGE_YEARS,avoid_or_cap,0.5711379257604462,-0.0012353524807446892,0.6204153579420584,False
DAYS_EMPLOYED_ANOM,avoid_or_cap,0.5449280434850893,-0.031593932117572554,0.7658553697344593,True
FLAG_EMP_PHONE,avoid_or_cap,0.5448111592472107,-0.03145916668236903,0.7657872936171035,False
FLAG_DOCUMENT_6,avoid_or_cap,0.5184476354573,-0.013005170523034737,0.5165713242993951,False
AMT_REQ_CREDIT_BUREAU_QRT,avoid_or_cap,0.5131252537976301,-0.008868710983764072,0.00966632744920768,True
AMT_ANNUITY,avoid_or_cap,0.5095141447045306,-0.0027234616891929075,0.00477942174775351,True
AMT_REQ_CREDIT_BUREAU_MON,avoid_or_cap,0.5028030526539062,0.0017942023439684318,0.0032629535638081025,True
AMT_REQ_CREDIT_BUREAU_WEEK,avoid_or_cap,0.5015240889653007,-0.0012162408146925152,0.0028023901795713774,True
AMT_CREDIT,avoid_or_cap,0.5014706022937823,0.026720255191518993,0.026223053385036457,True
DAYS_ID_PUBLISH,avoid_or_cap,0.5003266185736743,0.028608507415070483,2.536740885746825,False
EXT_SOURCE_MEAN,keep_prioritize,0.7128429257812527,0.0001469515243239794,0.2569133449110674,False
EXT_SOURCE_3,keep_prioritize,0.6725471040937001,0.005184074674721817,0.2606801397920914,False
EXT_SOURCE_1,keep_prioritize,0.66745100994217,-0.006897418575216752,0.336288108300468,False
EXT_SOURCE_EMPLOYMENT_INTERACTION,keep_prioritize,0.640143501598709,0.0012139347544980472,0.21967836612042518,False
EXT_SOURCE_BURDEN_RATIO,keep_prioritize,0.6340449204482888,0.013509076815874765,0.06821259119984086,False
EXT_SOURCE_CREDIT_RATIO,keep_prioritize,0.6106123937375674,0.0012584305104423876,0.05231064278862831,False
EMPLOYMENT_YEARS,keep_prioritize,0.5797100812016113,-0.0014187720124404501,0.20711583516768223,False
EXT_SOURCE_STD,keep_prioritize,0.5625950686334859,-0.0193360837014801,0.009654763516792196,False
EXT_SOURCE_2,use_carefully,0.6382907311636431,0.019860625559203204,0.0965364970474629,False
OWN_CAR_AGE,use_carefully,0.5565064447031102,0.004289196530900874,0.00704683668249424,False
REGION_RATING_CLIENT_W_CITY,use_carefully,0.543717566394962,0.007953147367975033,0.025834827572810148,False
DAYS_REGISTRATION,use_carefully,0.5436734395467662,-0.006122481482928821,0.20686056854573381,False
REGION_RATING_CLIENT,use_carefully,0.5433729245389043,0.006984473773074762,0.020848296244062862,False
FLOORSMAX_MEDI,use_carefully,0.5419530347947785,0.007922627599557419,0.00677041671578514,False
FLOORSMAX_AVG,use_carefully,0.5415104988337256,0.009087738939089762,0.006562865316834931,False
DAYS_LAST_PHONE_CHANGE,use_carefully,0.5408412038173944,0.019999982946663497,0.17300559508377605,False
REG_CITY_NOT_WORK_CITY,use_carefully,0.5408348097328066,-0.006783481374721845,0.19789243259573674,False
FLOORSMAX_MODE,use_carefully,0.5399270726171277,0.008938545050358404,0.005508260339544094,False
LIVINGAREA_AVG,use_carefully,0.537529688190183,0.01115785240628242,0.0029948697266467057,False
HOUSING_MISSING_COUNT,use_carefully,0.5373992980451772,0.0010259198679689607,0.03371078264832912,False
LIVINGAREA_MEDI,use_carefully,0.5373029878845482,0.010871621574895074,0.0024256493096863297,False
TOTALAREA_MODE,use_carefully,0.5352947155279222,0.010783035810383312,0.002132540764060733,False
FLAG_DOCUMENT_3,use_carefully,0.5349132138540215,-0.0029946952656084713,0.12320601401713767,False
LIVINGAREA_MODE,use_carefully,0.5348075651343112,0.010567903191311734,0.0029420092743915687,False
APARTMENTS_AVG,use_carefully,0.5337005326081943,0.0061728182436604495,0.0048260172794840316,False
APARTMENTS_MEDI,use_carefully,0.5335172399151503,0.005586648738012068,0.005080334293360548,False
HOUSING_QUALITY_MEAN,use_carefully,0.5324378968327355,0.01243796012584264,0.0008712973927885841,False
APARTMENTS_MODE,use_carefully,0.5312527790190551,0.006294203401503662,0.006005539564362517,False
LIVINGAPARTMENTS_MEDI,use_carefully,0.5310179483097703,0.005783745209054003,0.022797118810010144,False
LIVINGAPARTMENTS_AVG,use_carefully,0.5298333272749378,0.007875999622815932,0.02303178976740478,False
ELEVATORS_MEDI,use_carefully,0.5298107148628101,0.010509614695741853,0.0011799638545546105,False
ELEVATORS_AVG,use_carefully,0.5296405042916718,0.011600662202920664,0.0006483242933267534,False
YEARS_BEGINEXPLUATATION_MEDI,use_carefully,0.5278425689332977,0.0036368154661075014,0.0075520908958495265,False
LIVINGAPARTMENTS_MODE,use_carefully,0.5278376667573337,0.006940599536902403,0.022990039943104477,False
LIVE_CITY_NOT_WORK_CITY,use_carefully,0.5275919753880745,-0.009404593016365648,0.12264233876257988,False
YEARS_BEGINEXPLUATATION_AVG,use_carefully,0.5275726639149086,0.0038867815580335696,0.0069728605680187995,False
YEARS_BEGINEXPLUATATION_MODE,use_carefully,0.5270334406069123,0.003935340851890179,0.0038204746526000833,False
ELEVATORS_MODE,use_carefully,0.5261810656573287,0.012068594572613778,0.001688401085059031,False
FLAG_WORK_PHONE,use_carefully,0.5259950057298709,-0.01051775541909028,0.11171751146147661,False
REGION_POPULATION_RELATIVE,use_carefully,0.5253977870809502,0.008748935448615547,0.012135237741245879,False
FLOORSMIN_MEDI,use_carefully,0.5253757285601447,0.012510475374158836,0.003248041709183656,False
ENTRANCES_AVG,use_carefully,0.5244441045988637,0.00227910345269855,0.017949597508583822,False
HOUSING_QUALITY_STD,use_carefully,0.524384605432627,0.001451197459299669,0.01283657139713565,False
ENTRANCES_MEDI,use_carefully,0.5241789602005404,0.002166663999099594,0.01835093780836362,False
AMT_REQ_CREDIT_BUREAU_YEAR,use_carefully,0.5239841717318446,-0.0024783685861240468,0.05337411978192823,False
FLOORSMIN_AVG,use_carefully,0.5238699870493415,0.014808651084864843,0.003106582340774565,False
FLOORSMIN_MODE,use_carefully,0.523168647940681,0.013179960172824301,0.0030362428903666894,False
HOUR_APPR_PROCESS_START,use_carefully,0.5223697107368158,0.004335923013897625,0.08401983631244138,False
EXT_SOURCE_COUNT,use_carefully,0.5219818687451487,0.008153825076840704,0.012375290590763914,False
OBS_30_CNT_SOCIAL_CIRCLE,use_carefully,0.5207764394053961,-0.013743075369639812,0.014612620165089803,False
DEF_30_CNT_SOCIAL_CIRCLE,use_carefully,0.5207068748927718,-0.0015506923481244383,0.01293279469752831,False
COMMONAREA_MEDI,use_carefully,0.5206122960922992,0.0006243794585771845,0.014734799409744462,False
COMMONAREA_AVG,use_carefully,0.5203789712191458,0.001510729185008719,0.014664651365697187,False
OBS_60_CNT_SOCIAL_CIRCLE,use_carefully,0.5202260406343138,-0.013131906731565057,0.015486023440584881,False
CNT_CHILDREN,use_carefully,0.519370680677409,-0.003508566413015779,0.08199778223912985,False
